mecA	0	3	9
mecA	3	8	10
mecA	8	13	11
mecA	13	23	12
mecA	23	50	13
mecA	50	51	12
mecA	51	52	11
mecA	52	69	10
mecA	69	79	9
mecA	79	87	8
mecA	87	94	11
mecA	94	104	10
mecA	104	109	9
mecA	109	117	8
mecA	117	131	7
mecA	131	132	9
mecA	132	149	8
mecA	149	158	9
mecA	158	173	8
mecA	173	177	7
mecA	177	181	9
mecA	181	198	10
mecA	198	204	11
mecA	204	206	12
mecA	206	214	13
mecA	214	219	14
mecA	219	230	15
mecA	230	237	16
mecA	237	245	13
mecA	245	250	11
mecA	250	278	12
mecA	278	281	13
mecA	281	282	14
mecA	282	295	13
mecA	295	306	12
mecA	306	327	11
mecA	327	348	9
mecA	348	350	8
mecA	350	354	9
mecA	354	356	8
mecA	356	360	7
mecA	360	363	11
mecA	363	364	12
mecA	364	368	11
mecA	368	369	12
mecA	369	373	11
mecA	373	375	12
mecA	375	380	13
mecA	380	397	12
mecA	397	400	13
mecA	400	403	12
mecA	403	418	13
mecA	418	421	14
mecA	421	423	16
mecA	423	431	15
mecA	431	435	14
mecA	435	474	15
mecA	474	475	17
mecA	475	477	18
mecA	477	479	20
mecA	479	500	21
mecA	500	503	20
mecA	503	510	21
mecA	510	513	17
mecA	513	518	16
mecA	518	521	15
mecA	521	523	16
mecA	523	524	15
mecA	524	525	17
mecA	525	526	16
mecA	526	547	17
mecA	547	551	16
mecA	551	553	14
mecA	553	554	13
mecA	554	564	14
mecA	564	568	13
mecA	568	576	12
mecA	576	577	13
mecA	577	585	14
mecA	585	593	13
mecA	593	595	12
mecA	595	602	11
mecA	602	603	12
mecA	603	614	13
mecA	614	627	14
mecA	627	629	13
mecA	629	653	11
mecA	653	662	10
mecA	662	671	11
mecA	671	674	12
mecA	674	676	10
mecA	676	677	9
mecA	677	704	10
mecA	704	721	7
mecA	721	726	6
mecA	726	727	5
mecA	727	764	4
mecA	764	785	3
mecA	785	786	4
mecA	786	795	5
mecA	795	812	8
mecA	812	821	7
mecA	821	827	6
mecA	827	846	5
mecA	846	848	6
mecA	848	889	8
mecA	889	893	9
mecA	893	911	7
mecA	911	914	8
mecA	914	929	9
mecA	929	932	8
mecA	932	935	9
mecA	935	945	8
mecA	945	946	7
mecA	946	986	8
mecA	986	988	7
mecA	988	990	6
mecA	990	996	5
mecA	996	1008	4
mecA	1008	1026	5
mecA	1026	1034	6
mecA	1034	1061	5
mecA	1061	1064	4
mecA	1064	1077	3
mecA	1077	1079	4
mecA	1079	1089	5
mecA	1089	1091	6
mecA	1091	1096	7
mecA	1096	1100	6
mecA	1100	1101	7
mecA	1101	1105	8
mecA	1105	1134	9
mecA	1134	1143	10
mecA	1143	1145	11
mecA	1145	1158	10
mecA	1158	1159	9
mecA	1159	1161	10
mecA	1161	1176	11
mecA	1176	1178	10
mecA	1178	1187	11
mecA	1187	1192	12
mecA	1192	1222	13
mecA	1222	1227	14
mecA	1227	1229	13
mecA	1229	1239	12
mecA	1239	1241	11
mecA	1241	1244	10
mecA	1244	1246	11
mecA	1246	1250	13
mecA	1250	1251	12
mecA	1251	1256	11
mecA	1256	1259	10
mecA	1259	1261	11
mecA	1261	1264	12
mecA	1264	1284	13
mecA	1284	1293	12
mecA	1293	1295	11
mecA	1295	1307	12
mecA	1307	1311	13
mecA	1311	1326	12
mecA	1326	1333	13
mecA	1333	1337	15
mecA	1337	1339	14
mecA	1339	1342	15
mecA	1342	1353	14
mecA	1353	1358	15
mecA	1358	1359	14
mecA	1359	1372	13
mecA	1372	1378	12
mecA	1378	1386	13
mecA	1386	1389	14
mecA	1389	1390	13
mecA	1390	1394	15
mecA	1394	1401	14
mecA	1401	1409	15
